Time,Rep,PopSizeF,PopSizeM,PopSize,Sex,p,chi,tau,t,gamma,surviving_offspring_nr,dead_offspring_nr,Res,NrRejections,NrMatings
10000,7,505,495,1000,1,0.634721,10,0.503693,20033,20033,3,4,0.578332,0,7
10000,7,505,495,1000,1,0.589176,10,0.487633,20033,20033,4,3,0.974878,0,7
10000,7,505,495,1000,1,0.677655,10,0.464422,20033,20033,5,3,0.549691,0,8
10000,7,505,495,1000,1,0.630386,10,0.443614,20033,20033,3,6,0.760502,0,9
10000,7,505,495,1000,1,0.566192,10,0.475492,20033,20033,3,3,1.11067,0,6
10000,7,505,495,1000,1,0.760789,10,0.504037,20033,20033,5,4,0.695754,0,9
10000,7,505,495,1000,1,0.601371,10,0.487633,20033,20033,0,3,1.0569,0,3
10000,7,505,495,1000,1,0.704726,10,0.465839,20033,20033,3,3,0.568951,0,6
10000,7,505,495,1000,1,0.724448,10,0.44853,20033,20033,1,4,0.671467,0,5
10000,7,505,495,1000,1,0.71809,10,0.465839,20033,20033,1,7,1.16511,0,8
10000,7,505,495,1000,1,0.651165,10,0.44722,20033,20033,3,2,0.810355,0,5
10000,7,505,495,1000,1,0.608106,10,0.475492,20033,20033,5,3,1.29544,0,8
10000,7,505,495,1000,1,0.673994,10,0.495611,20033,20033,4,1,0.668728,0,5
10000,7,505,495,1000,1,0.580406,10,0.465839,20033,20033,2,1,1.48904,0,3
10000,7,505,495,1000,1,0.672226,10,0.465839,20033,20033,1,4,1.28198,0,5
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,2,3,1.19353,0,5
10000,7,505,495,1000,1,0.637447,10,0.465839,20033,20033,1,3,1.40966,0,4
10000,7,505,495,1000,1,0.64155,10,0.443845,20033,20033,2,3,1.2596,0,5
10000,7,505,495,1000,1,0.704529,10,0.483291,20033,20033,4,1,0.559135,0,5
10000,7,505,495,1000,1,0.651165,10,0.482412,20033,20033,4,2,0.923082,0,6
10000,7,505,495,1000,1,0.724448,10,0.465839,20033,20033,4,6,1.13895,0,10
10000,7,505,495,1000,1,0.439652,10,0.504561,20033,20033,0,3,0.864052,0,3
10000,7,505,495,1000,1,0.586501,10,0.465839,20033,20033,1,1,1.45756,0,2
10000,7,505,495,1000,1,0.651165,10,0.483291,20033,20033,2,1,0.686466,0,3
10000,7,505,495,1000,1,0.608106,10,0.487633,20033,20033,2,3,1.12617,0,5
10000,7,505,495,1000,1,0.57116,10,0.4279,20033,20033,1,3,0.549017,0,4
10000,7,505,495,1000,1,0.56534,10,0.44722,20033,20033,1,2,1.11598,0,3
10000,7,505,495,1000,1,0.704726,10,0.465839,20033,20033,2,4,0.822323,0,6
10000,7,505,495,1000,1,0.672226,10,0.465839,20033,20033,3,3,1.21376,0,6
10000,7,505,495,1000,1,0.660277,10,0.44722,20033,20033,0,1,0.893939,0,1
10000,7,505,495,1000,1,0.56534,10,0.543154,20033,20033,1,3,0.745281,0,4
10000,7,505,495,1000,1,0.57116,10,0.465839,20033,20033,2,2,1.26097,0,4
10000,7,505,495,1000,1,0.608106,10,0.465839,20033,20033,4,1,0.657575,0,5
10000,7,505,495,1000,1,0.580406,10,0.428042,20033,20033,3,2,1.16003,0,5
10000,7,505,495,1000,1,0.697357,10,0.445941,20033,20033,5,2,0.537997,0,7
10000,7,505,495,1000,1,0.704726,10,0.443614,20033,20033,2,4,0.566507,0,6
10000,7,505,495,1000,1,0.724448,10,0.433958,20033,20033,6,1,1.08082,0,7
10000,7,505,495,1000,1,0.56534,10,0.44722,20033,20033,1,0,1.48962,0,1
10000,7,505,495,1000,1,0.605986,10,0.443614,20033,20033,2,2,1.27184,0,4
10000,7,505,495,1000,1,0.439652,10,0.509869,20033,20033,1,3,1.18471,0,4
10000,7,505,495,1000,1,0.620251,10,0.465839,20033,20033,1,5,1.02089,0,6
10000,7,505,495,1000,1,0.634443,10,0.433958,20033,20033,1,1,0.757913,0,2
10000,7,505,495,1000,1,0.620251,10,0.44722,20033,20033,0,3,0.643719,0,3
10000,7,505,495,1000,1,0.620251,10,0.395327,20033,20033,2,2,1.3003,0,4
10000,7,505,495,1000,1,0.499767,10,0.389217,20033,20033,1,3,1.08444,0,4
10000,7,505,495,1000,1,0.580406,10,0.509869,20033,20033,1,2,0.593887,0,3
10000,7,505,495,1000,1,0.619322,10,0.450189,20033,20033,1,3,0.642829,0,4
10000,7,505,495,1000,1,0.580406,10,0.44722,20033,20033,0,3,1.30843,0,3
10000,7,505,495,1000,1,0.54034,10,0.465839,20033,20033,6,2,1.10809,0,8
10000,7,505,495,1000,1,0.651165,10,0.509869,20033,20033,4,6,0.58523,0,10
10000,7,505,495,1000,1,0.677655,10,0.41458,20033,20033,0,4,1.37823,0,4
10000,7,505,495,1000,1,0.672226,10,0.433958,20033,20033,4,6,1.31023,0,10
10000,7,505,495,1000,1,0.48428,10,0.443614,20033,20033,3,1,1.43402,0,4
10000,7,505,495,1000,1,0.634721,10,0.465839,20033,20033,4,4,0.509981,0,8
10000,7,505,495,1000,1,0.620251,10,0.465839,20033,20033,1,5,1.46402,0,6
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,1,4,0.827606,0,5
10000,7,505,495,1000,1,0.608106,10,0.483291,20033,20033,2,8,0.753115,0,10
10000,7,505,495,1000,1,0.643939,10,0.504037,20033,20033,3,4,1.14851,0,7
10000,7,505,495,1000,1,0.561819,10,0.487633,20033,20033,4,2,1.07357,0,6
10000,7,505,495,1000,1,0.651165,10,0.465839,20033,20033,2,2,0.55582,0,4
10000,7,505,495,1000,1,0.724448,10,0.549452,20033,20033,1,2,1.13095,0,3
10000,7,505,495,1000,1,0.580406,10,0.443845,20033,20033,2,1,1.48373,0,3
10000,7,505,495,1000,1,0.677655,10,0.504001,20033,20033,0,2,1.3259,0,2
10000,7,505,495,1000,1,0.64553,10,0.450626,20033,20033,1,2,0.682927,0,3
10000,7,505,495,1000,1,0.677655,10,0.44722,20033,20033,2,0,1.2146,0,2
10000,7,505,495,1000,1,0.620251,10,0.487633,20033,20033,1,3,1.21411,0,4
10000,7,505,495,1000,1,0.578568,10,0.485833,20033,20033,1,5,1.16354,0,6
10000,7,505,495,1000,1,0.608106,10,0.395327,20033,20033,1,1,0.919633,0,2
10000,7,505,495,1000,1,0.57116,10,0.487633,20033,20033,0,5,1.09992,0,5
10000,7,505,495,1000,1,0.651165,10,0.509869,20033,20033,3,1,0.860143,0,4
10000,7,505,495,1000,1,0.57116,10,0.443845,20033,20033,2,0,0.534861,0,2
10000,7,505,495,1000,1,0.634721,10,0.465839,20033,20033,1,4,0.809134,0,5
10000,7,505,495,1000,1,0.704726,10,0.41458,20033,20033,0,2,0.616197,0,2
10000,7,505,495,1000,1,0.64155,10,0.44722,20033,20033,3,1,1.47446,0,4
10000,7,505,495,1000,1,0.651165,10,0.504037,20033,20033,2,6,1.02408,0,8
10000,7,505,495,1000,1,0.760789,10,0.504037,20033,20033,2,4,0.529402,0,6
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,4,2,0.708904,0,6
10000,7,505,495,1000,1,0.620251,10,0.487633,20033,20033,5,1,1.49224,0,6
10000,7,505,495,1000,1,0.580406,10,0.443845,20033,20033,1,1,1.09667,0,2
10000,7,505,495,1000,1,0.580406,10,0.44722,20033,20033,0,3,0.928352,0,3
10000,7,505,495,1000,1,0.580406,10,0.504001,20033,20033,1,1,1.38279,0,2
10000,7,505,495,1000,1,0.573147,10,0.465839,20033,20033,2,4,0.873787,0,6
10000,7,505,495,1000,1,0.586501,10,0.465839,20033,20033,1,7,0.831193,0,8
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,5,3,1.19364,0,8
10000,7,505,495,1000,1,0.634443,10,0.465839,20033,20033,4,6,1.44239,0,10
10000,7,505,495,1000,1,0.673994,10,0.476185,20033,20033,0,1,1.47185,0,1
10000,7,505,495,1000,1,0.619322,10,0.506812,20033,20033,4,3,0.54443,0,7
10000,7,505,495,1000,1,0.589176,10,0.483291,20033,20033,2,2,0.932279,0,4
10000,7,505,495,1000,1,0.704726,10,0.443845,20033,20033,3,2,1.39854,0,5
10000,7,505,495,1000,1,0.760789,10,0.465839,20033,20033,0,2,0.871382,0,2
10000,7,505,495,1000,1,0.608106,10,0.520275,20033,20033,2,9,1.2906,0,11
10000,7,505,495,1000,1,0.760789,10,0.428042,20033,20033,4,4,1.45579,0,8
10000,7,505,495,1000,1,0.601371,10,0.443845,20033,20033,2,3,1.37113,0,5
10000,7,505,495,1000,1,0.651165,10,0.509869,20033,20033,0,4,0.613714,0,4
10000,7,505,495,1000,1,0.677655,10,0.475544,20033,20033,0,1,0.816739,0,1
10000,7,505,495,1000,1,0.620251,10,0.545997,20033,20033,1,4,0.829276,0,5
10000,7,505,495,1000,1,0.506456,10,0.476185,20033,20033,0,2,1.31986,0,2
10000,7,505,495,1000,1,0.580406,10,0.465839,20033,20033,3,3,0.81768,0,6
10000,7,505,495,1000,1,0.704726,10,0.443845,20033,20033,2,4,0.899785,0,6
10000,7,505,495,1000,1,0.608106,10,0.504037,20033,20033,1,2,0.662829,0,3
10000,7,505,495,1000,1,0.580406,10,0.509869,20033,20033,1,1,0.52843,0,2
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,4,0,0.752072,0,4
10000,7,505,495,1000,1,0.760789,10,0.44722,20033,20033,0,1,0.586106,0,1
10000,7,505,495,1000,1,0.586501,10,0.465839,20033,20033,2,5,1.01861,0,7
10000,7,505,495,1000,1,0.580406,10,0.452334,20033,20033,4,1,1.40255,0,5
10000,7,505,495,1000,1,0.620251,10,0.433958,20033,20033,2,4,0.553682,0,6
10000,7,505,495,1000,1,0.619322,10,0.465839,20033,20033,2,0,0.513132,0,2
10000,7,505,495,1000,1,0.71809,10,0.44722,20033,20033,2,2,1.00778,0,4
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,10,2,1.0305,0,12
10000,7,505,495,1000,1,0.651165,10,0.44722,20033,20033,4,2,0.654425,0,6
10000,7,505,495,1000,1,0.566192,10,0.44722,20033,20033,7,1,1.40742,0,8
10000,7,505,495,1000,1,0.637447,10,0.44722,20033,20033,3,1,1.14647,0,4
10000,7,505,495,1000,1,0.482284,10,0.506812,20033,20033,0,1,0.634284,0,1
10000,7,505,495,1000,1,0.56534,10,0.487633,20033,20033,1,2,0.522803,0,3
10000,7,505,495,1000,1,0.56534,10,0.504037,20033,20033,4,2,1.49874,0,6
10000,7,505,495,1000,1,0.580406,10,0.483291,20033,20033,2,3,0.84126,0,5
10000,7,505,495,1000,1,0.761819,10,0.475492,20033,20033,1,3,0.924426,0,4
10000,7,505,495,1000,1,0.634721,10,0.509869,20033,20033,4,3,0.790769,0,7
10000,7,505,495,1000,1,0.439652,10,0.465839,20033,20033,2,4,1.19036,0,6
10000,7,505,495,1000,1,0.597795,10,0.465839,20033,20033,0,2,1.19375,0,2
10000,7,505,495,1000,1,0.679103,10,0.443614,20033,20033,0,3,1.30235,0,3
10000,7,505,495,1000,1,0.601371,10,0.465839,20033,20033,2,1,1.26434,0,3
10000,7,505,495,1000,1,0.704726,10,0.509869,20033,20033,0,2,0.784514,0,2
10000,7,505,495,1000,1,0.620251,10,0.485833,20033,20033,2,2,0.964657,0,4
10000,7,505,495,1000,1,0.704726,10,0.414594,20033,20033,0,2,1.22802,0,2
10000,7,505,495,1000,1,0.634721,10,0.4279,20033,20033,2,1,0.935076,0,3
10000,7,505,495,1000,1,0.704726,10,0.44722,20033,20033,2,2,1.48428,0,4
10000,7,505,495,1000,1,0.677655,10,0.44722,20033,20033,3,1,0.967553,0,4
10000,7,505,495,1000,1,0.713972,10,0.465839,20033,20033,4,5,0.768104,0,9
10000,7,505,495,1000,1,0.619322,10,0.450626,20033,20033,0,1,1.33549,0,1
10000,7,505,495,1000,1,0.580406,10,0.504037,20033,20033,1,2,1.26703,0,3
10000,7,505,495,1000,1,0.64155,10,0.475492,20033,20033,3,2,1.03187,0,5
10000,7,505,495,1000,1,0.651165,10,0.465839,20033,20033,0,2,1.1711,0,2
10000,7,505,495,1000,1,0.724448,10,0.443845,20033,20033,2,0,1.37631,0,2
10000,7,505,495,1000,1,0.601371,10,0.452334,20033,20033,3,1,1.35561,0,4
10000,7,505,495,1000,1,0.673994,10,0.476185,20033,20033,2,5,0.838378,0,7
10000,7,505,495,1000,1,0.713972,10,0.496362,20033,20033,2,2,0.650243,0,4
10000,7,505,495,1000,1,0.669687,10,0.480101,20033,20033,2,2,0.885708,0,4
10000,7,505,495,1000,1,0.672226,10,0.465839,20033,20033,4,2,0.841979,0,6
10000,7,505,495,1000,1,0.672226,10,0.465839,20033,20033,1,4,1.39984,0,5
10000,7,505,495,1000,1,0.677655,10,0.443845,20033,20033,2,1,0.591256,0,3
10000,7,505,495,1000,1,0.56534,10,0.428042,20033,20033,1,4,1.3549,0,5
10000,7,505,495,1000,1,0.744645,10,0.44722,20033,20033,1,2,0.703219,0,3
10000,7,505,495,1000,1,0.651165,10,0.482412,20033,20033,2,5,0.637822,0,7
10000,7,505,495,1000,1,0.669687,10,0.465839,20033,20033,1,3,1.3403,0,4
10000,7,505,495,1000,1,0.566192,10,0.483291,20033,20033,1,1,0.532645,0,2
10000,7,505,495,1000,1,0.634721,10,0.485833,20033,20033,1,3,0.917548,0,4
10000,7,505,495,1000,1,0.651165,10,0.478247,20033,20033,1,2,1.2152,0,3
10000,7,505,495,1000,1,0.764001,10,0.465839,20033,20033,2,3,1.09987,0,5
10000,7,505,495,1000,1,0.704726,10,0.483291,20033,20033,1,1,1.13541,0,2
10000,7,505,495,1000,1,0.724448,10,0.395327,20033,20033,2,2,1.33391,0,4
10000,7,505,495,1000,1,0.56534,10,0.465839,20033,20033,3,1,1.02686,0,4
10000,7,505,495,1000,1,0.651165,10,0.504037,20033,20033,2,2,1.15979,0,4
10000,7,505,495,1000,1,0.64155,10,0.465839,20033,20033,0,4,0.726121,0,4
10000,7,505,495,1000,1,0.672226,10,0.465839,20033,20033,1,4,1.1511,0,5
10000,7,505,495,1000,1,0.57116,10,0.428042,20033,20033,1,2,0.545424,0,3
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,1,5,0.844908,0,6
10000,7,505,495,1000,1,0.613749,10,0.443845,20033,20033,1,5,0.574036,0,6
10000,7,505,495,1000,1,0.634721,10,0.465839,20033,20033,1,2,0.610611,0,3
10000,7,505,495,1000,1,0.677655,10,0.414166,20033,20033,2,1,1.38741,0,3
10000,7,505,495,1000,1,0.760789,10,0.44722,20033,20033,0,6,0.568363,0,6
10000,7,505,495,1000,1,0.651165,10,0.487633,20033,20033,0,3,1.46015,0,3
10000,7,505,495,1000,1,0.580406,10,0.44853,20033,20033,2,3,0.770992,0,5
10000,7,505,495,1000,1,0.637447,10,0.41458,20033,20033,1,2,0.637787,0,3
10000,7,505,495,1000,1,0.651165,10,0.44722,20033,20033,4,5,1.31498,0,9
10000,7,505,495,1000,1,0.697357,10,0.41458,20033,20033,1,4,1.47012,0,5
10000,7,505,495,1000,1,0.578568,10,0.487633,20033,20033,0,1,0.747616,0,1
10000,7,505,495,1000,1,0.651165,10,0.465839,20033,20033,2,4,1.22913,0,6
10000,7,505,495,1000,1,0.672226,10,0.44722,20033,20033,5,5,1.24068,0,10
10000,7,505,495,1000,1,0.677655,10,0.41458,20033,20033,3,2,1.00884,0,5
10000,7,505,495,1000,1,0.676235,10,0.487633,20033,20033,2,2,1.45365,0,4
10000,7,505,495,1000,1,0.669687,10,0.465839,20033,20033,2,3,1.21265,0,5
10000,7,505,495,1000,1,0.713972,10,0.483291,20033,20033,1,1,1.14909,0,2
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,3,4,1.2442,0,7
10000,7,505,495,1000,1,0.552358,10,0.465839,20033,20033,3,5,1.39668,0,8
10000,7,505,495,1000,1,0.580406,10,0.549452,20033,20033,3,0,1.44315,0,3
10000,7,505,495,1000,1,0.601371,10,0.504037,20033,20033,0,1,0.683535,0,1
10000,7,505,495,1000,1,0.64553,10,0.475492,20033,20033,4,6,0.581644,0,10
10000,7,505,495,1000,1,0.482284,10,0.487633,20033,20033,0,3,1.25649,0,3
10000,7,505,495,1000,1,0.557998,10,0.476185,20033,20033,3,2,1.05623,0,5
10000,7,505,495,1000,1,0.620251,10,0.475492,20033,20033,3,1,1.48725,0,4
10000,7,505,495,1000,1,0.760789,10,0.465839,20033,20033,2,2,0.724929,0,4
10000,7,505,495,1000,1,0.439652,10,0.443614,20033,20033,0,0,0.655375,0,0
10000,7,505,495,1000,1,0.724448,10,0.482412,20033,20033,0,1,0.502081,0,1
10000,7,505,495,1000,1,0.580406,10,0.487633,20033,20033,2,2,1.43784,0,4
10000,7,505,495,1000,1,0.550956,10,0.487633,20033,20033,2,2,1.29308,0,4
10000,7,505,495,1000,1,0.724448,10,0.487633,20033,20033,2,3,1.48182,0,5
10000,7,505,495,1000,1,0.550956,10,0.465839,20033,20033,0,4,1.07972,0,4
10000,7,505,495,1000,1,0.601371,10,0.457137,20033,20033,2,4,1.21563,0,6
10000,7,505,495,1000,1,0.64155,10,0.44853,20033,20033,3,1,0.635713,0,4
10000,7,505,495,1000,1,0.580406,10,0.395327,20033,20033,0,1,0.630125,0,1
10000,7,505,495,1000,1,0.580406,10,0.433958,20033,20033,6,1,0.561817,0,7
10000,7,505,495,1000,1,0.677409,10,0.509869,20033,20033,0,4,1.09723,0,4
10000,7,505,495,1000,1,0.580406,10,0.509869,20033,20033,3,2,1.27943,0,5
10000,7,505,495,1000,1,0.439652,10,0.608632,20033,20033,2,1,0.536622,0,3
10000,7,505,495,1000,1,0.677655,10,0.506812,20033,20033,2,1,1.10135,0,3
10000,7,505,495,1000,1,0.56534,10,0.465839,20033,20033,1,1,0.665661,0,2
10000,7,505,495,1000,1,0.651165,10,0.482412,20033,20033,3,1,0.557739,0,4
10000,7,505,495,1000,1,0.713972,10,0.44722,20033,20033,1,2,1.33947,0,3
10000,7,505,495,1000,1,0.651165,10,0.443614,20033,20033,1,1,0.681917,0,2
10000,7,505,495,1000,1,0.669687,10,0.465839,20033,20033,1,2,1.43597,0,3
10000,7,505,495,1000,1,0.578568,10,0.509869,20033,20033,1,2,0.724069,0,3
10000,7,505,495,1000,1,0.64155,10,0.473946,20033,20033,3,4,0.842247,0,7
10000,7,505,495,1000,1,0.57116,10,0.4279,20033,20033,5,3,1.45888,0,8
10000,7,505,495,1000,1,0.760789,10,0.443845,20033,20033,2,7,1.17572,0,9
10000,7,505,495,1000,1,0.713972,10,0.487633,20033,20033,0,5,0.861006,0,5
10000,7,505,495,1000,1,0.672226,10,0.44722,20033,20033,3,1,1.31863,0,4
10000,7,505,495,1000,1,0.677655,10,0.504037,20033,20033,1,2,1.02251,0,3
10000,7,505,495,1000,1,0.704726,10,0.443614,20033,20033,1,4,1.23493,0,5
10000,7,505,495,1000,1,0.760789,10,0.487633,20033,20033,3,5,0.50138,0,8
10000,7,505,495,1000,1,0.601371,10,0.476185,20033,20033,3,6,1.46569,0,9
10000,7,505,495,1000,1,0.580406,10,0.427107,20033,20033,2,6,1.10019,0,8
10000,7,505,495,1000,1,0.439652,10,0.465839,20033,20033,1,2,0.896555,0,3
10000,7,505,495,1000,1,0.724448,10,0.443845,20033,20033,1,2,1.46235,0,3
10000,7,505,495,1000,1,0.672226,10,0.475492,20033,20033,1,1,0.574516,0,2
10000,7,505,495,1000,1,0.672226,10,0.482412,20033,20033,1,2,1.4301,0,3
10000,7,505,495,1000,1,0.673994,10,0.443845,20033,20033,0,4,0.60725,0,4
10000,7,505,495,1000,1,0.561819,10,0.478247,20033,20033,5,1,1.45732,0,6
10000,7,505,495,1000,1,0.704726,10,0.504001,20033,20033,1,2,0.75142,0,3
10000,7,505,495,1000,1,0.760789,10,0.483291,20033,20033,2,2,0.500874,0,4
10000,7,505,495,1000,1,0.619322,10,0.44722,20033,20033,3,4,0.992715,0,7
10000,7,505,495,1000,1,0.439652,10,0.465839,20033,20033,2,2,0.605916,0,4
10000,7,505,495,1000,1,0.619322,10,0.496362,20033,20033,1,2,1.20887,0,3
10000,7,505,495,1000,1,0.550956,10,0.509869,20033,20033,0,2,1.42069,0,2
10000,7,505,495,1000,1,0.550956,10,0.465839,20033,20033,1,2,1.17833,0,3
10000,7,505,495,1000,1,0.660277,10,0.44722,20033,20033,5,7,1.19385,0,12
10000,7,505,495,1000,1,0.608106,10,0.44722,20033,20033,3,4,0.6839,0,7
10000,7,505,495,1000,1,0.704726,10,0.487633,20033,20033,1,0,1.44895,0,1
10000,7,505,495,1000,1,0.439652,10,0.443845,20033,20033,1,3,0.676898,0,4
10000,7,505,495,1000,1,0.634721,10,0.44853,20033,20033,0,1,1.15253,0,1
10000,7,505,495,1000,1,0.619322,10,0.44722,20033,20033,1,5,1.01075,0,6
10000,7,505,495,1000,1,0.704726,10,0.44722,20033,20033,5,4,0.756149,0,9
10000,7,505,495,1000,1,0.630386,10,0.465839,20033,20033,1,2,1.44146,0,3
10000,7,505,495,1000,1,0.760789,10,0.487633,20033,20033,3,2,1.41508,0,5
10000,7,505,495,1000,1,0.54034,10,0.44722,20033,20033,3,1,1.26851,0,4
10000,7,505,495,1000,1,0.704726,10,0.509869,20033,20033,4,7,1.36261,0,11
10000,7,505,495,1000,1,0.651165,10,0.520275,20033,20033,2,3,0.757275,0,5
10000,7,505,495,1000,1,0.704726,10,0.487633,20033,20033,3,1,1.31633,0,4
10000,7,505,495,1000,1,0.580406,10,0.484772,20033,20033,2,2,0.508128,0,4
10000,7,505,495,1000,1,0.580406,10,0.520275,20033,20033,1,2,1.4619,0,3
10000,7,505,495,1000,1,0.673994,10,0.465839,20033,20033,1,4,0.863556,0,5
10000,7,505,495,1000,1,0.669687,10,0.4279,20033,20033,1,5,1.4395,0,6
10000,7,505,495,1000,1,0.637447,10,0.44722,20033,20033,3,3,0.702408,0,6
10000,7,505,495,1000,1,0.724448,10,0.465839,20033,20033,0,2,0.886113,0,2
10000,7,505,495,1000,1,0.761819,10,0.465839,20033,20033,1,1,0.870083,0,2
10000,7,505,495,1000,1,0.713972,10,0.452334,20033,20033,5,2,1.09124,0,7
10000,7,505,495,1000,1,0.580406,10,0.504037,20033,20033,2,3,1.41428,0,5
10000,7,505,495,1000,1,0.64553,10,0.450626,20033,20033,1,1,0.709796,0,2
10000,7,505,495,1000,1,0.672226,10,0.44722,20033,20033,0,4,0.546254,0,4
10000,7,505,495,1000,1,0.704726,10,0.509869,20033,20033,3,1,0.520914,0,4
10000,7,505,495,1000,1,0.634721,10,0.44722,20033,20033,0,1,1.20967,0,1
10000,7,505,495,1000,1,0.672226,10,0.509869,20033,20033,0,0,0.870649,0,0
10000,7,505,495,1000,1,0.620251,10,0.504709,20033,20033,2,3,1.23874,0,5
10000,7,505,495,1000,1,0.589176,10,0.443845,20033,20033,1,2,1.10422,0,3
10000,7,505,495,1000,1,0.677655,10,0.487633,20033,20033,1,2,0.561342,0,3
10000,7,505,495,1000,1,0.620251,10,0.443845,20033,20033,3,2,1.36745,0,5
10000,7,505,495,1000,1,0.619322,10,0.485833,20033,20033,3,0,1.4848,0,3
10000,7,505,495,1000,1,0.651165,10,0.4279,20033,20033,2,3,1.35794,0,5
